 DEA,QDEA1,QDEA2,
  0.52439182,  0.59075776,  0.61320140,
  0.54250395,  0.62340344,  0.64484635,
  0.48039743,  0.53689880,  0.56048051,
  0.57783862,  0.67677338,  0.72050691,
  0.52369238,  0.58094920,  0.61659404,
  0.66894131,  0.76943602,  0.80864510,
  0.53758608,  0.62824170,  0.66864833,
  0.52462769,  0.59084864,  0.61366766,
  0.69853490,  0.77480986,  0.82234925,
  0.60624503,  0.68308042,  0.70384572,
  0.55401625,  0.63079262,  0.65610826,
  0.62220118,  0.70335651,  0.72887853,
  0.54519065,  0.64296050,  0.68489937,
  0.70672745,  0.78459480,  0.83273455,
  0.55604002,  0.62871170,  0.65152939,
  0.61114029,  0.81378481,  0.86714970,
  0.53207061,  0.59069424,  0.62693700,
  0.51081702,  0.57479912,  0.59326157,
  0.69281068,  0.79285005,  0.82538618,
  0.47189106,  0.53683589,  0.55841526,
  0.59839652,  0.68436867,  0.71239826,
  0.55295687,  0.62228280,  0.64459603,
  0.50277469,  0.56763843,  0.58853558,
  0.52959541,  0.59625374,  0.61331585,
  0.61511209,  0.74550172,  0.79400791,
  0.63994807,  0.73395819,  0.76988919,
  0.52035857,  0.58516006,  0.60142219,
  0.65514656,  0.74032697,  0.76723453,
  0.43755888,  0.49381393,  0.51223405,
  0.60864355,  0.69707291,  0.72582418,
  0.54151957,  0.62061838,  0.65093509,
  0.67130795,  0.89390312,  0.95252186,
  0.42019216,  0.49431072,  0.52644748,
  0.56217659,  0.63237140,  0.64907028,
  0.57424555,  0.64073836,  0.66903857,
  0.64506195,  0.72999274,  0.75650439,
  0.44393884,  0.50124873,  0.51775042,
  0.61730395,  0.69441095,  0.71272522,
  0.58096766,  0.65401781,  0.67922878,
  0.61131173,  0.67866615,  0.72030653,
  0.55239500,  0.62725384,  0.65319943,
  0.51875865,  0.58802856,  0.61182796,
  0.57223792,  0.64706617,  0.67202759,
  0.61054222,  0.69657801,  0.72216477,
  0.64583175,  0.71604326,  0.75868091,
  0.76200363,  0.85719967,  0.87979564,
  0.71665986,  0.80663297,  0.82967406,
  0.50445078,  0.57285777,  0.59320871,
  0.55673283,  0.64393843,  0.67656692,
  0.57141610,  0.64301377,  0.66366539,
  0.56792729,  0.64216996,  0.66693572,
  0.54913361,  0.64218862,  0.68356974,
  0.65656681,  0.74699495,  0.77701702,
  0.58134000,  0.67009550,  0.70391025,
  0.54931081,  0.65823495,  0.70284122,
  0.55042258,  0.61906899,  0.63603348,
  0.67035854,  0.76175138,  0.79243804,
  0.47320789,  0.53638161,  0.55629439,
  0.59412616,  0.67452048,  0.70144818,
  0.59604192,  0.67440550,  0.70053505,
  0.43166360,  0.49706744,  0.52245938,
  0.58593258,  0.66935606,  0.69231578,
  0.57064008,  0.64241770,  0.66079555,
  0.70764308,  0.78414169,  0.83225365,
  0.52280681,  0.60170965,  0.62243178,
  0.63941123,  0.72629246,  0.75211115,
  0.49920419,  0.56160567,  0.58195934,
  0.68071345,  0.77553727,  0.81168672,
  0.74460449,  0.82664514,  0.87736495,
  0.50320633,  0.58744938,  0.62144719,
  0.55819499,  0.62942279,  0.64863428,
  0.48220151,  0.54346724,  0.56002109,
  0.58121001,  0.65961869,  0.68301192,
  0.52792077,  0.64260095,  0.68456422,
  0.58301095,  0.68385096,  0.72813522,
  0.54901824,  0.62688908,  0.65243761,
  0.64515627,  0.75900999,  0.80836030,
  0.63594932,  0.71569559,  0.74135973,
  0.47505543,  0.53524448,  0.55556450,
  0.55689402,  0.63208342,  0.65450610,
  0.72899902,  0.80932025,  0.85897707,
  0.58388427,  0.65728857,  0.67608744,
  0.54879617,  0.62867274,  0.65934144,
  0.55439719,  0.62472028,  0.64373094,
  0.49111800,  0.56005274,  0.58692227,
  0.62375845,  0.70476773,  0.72803493,
  0.71756371,  0.80969683,  0.83627053,
  0.56164596,  0.64294493,  0.67424483,
  0.49197497,  0.56553493,  0.58500210,
  0.54690905,  0.61635296,  0.63512133,
  0.55350874,  0.62334524,  0.64219045,
  0.49098736,  0.62301731,  0.66387240,
  0.63175100,  0.72131090,  0.75010480,
  0.65109327,  0.75249150,  0.79058705,
  0.62898818,  0.70769322,  0.73339895,
  0.73462419,  0.81356980,  0.86348408,
  0.56067469,  0.63642963,  0.65901188,
  0.45107908,  0.50903585,  0.52992753,
  0.49686820,  0.55907151,  0.57940061,
  0.62001469,  0.68922191,  0.72057469,
  0.63449075,  0.84487792,  0.90028178,
  0.59166918,  0.76001716,  0.80985618,
  0.71198408,  0.80438278,  0.83092942,
  0.63360095,  0.75060918,  0.79630994,
  0.52974318,  0.63440504,  0.67733521,
  0.52710713,  0.61509152,  0.65062446,
  0.48004180,  0.61482489,  0.65514275,
  0.60218766,  0.66853680,  0.70955568,
  0.56370509,  0.64737019,  0.67098153,
  0.66891253,  0.77672220,  0.82018477,
  0.55684556,  0.61650961,  0.65900587,
